N,P,K,temperature,humidity,ph,rainfall,soil_type,Crop
131,114,156,34.68,36.9,6.62,184.32,sandy,jowar
138,9,162,38.76,38.3,6.12,61.16,clay,wheat
22,46,65,15.67,28.4,7.29,256.63,sandy,maize
64,64,38,29.81,23.46,5.19,105.39,loamy,millet
22,43,106,33.19,87.62,4.48,231.17,clay,bajra
91,19,97,32.97,30.35,5.5,138.55,loamy,wheat
24,52,49,32.8,49.23,7.65,106.74,loamy,jowar
80,29,60,16.35,95.29,6.71,176.69,loamy,millet
86,93,23,23.27,29.65,7.07,153.27,sandy,maize
63,91,150,37.8,36.82,7.94,70,clay,wheat
105,12,80,39.11,29.88,5.79,50.74,loamy,jowar
108,20,186,35.09,35.74,4.65,98.47,clay,groundnut
86,39,157,31.11,79.09,8.57,67.76,sandy,wheat
141,71,89,35.04,66.57,8.66,77.82,clay,bajra
24,105,127,34.85,26.67,5.6,139.03,clay,cotton
15,15,6,18.1,92.17,4.04,277.05,sandy,oilseeds
39,32,157,34.05,37.9,6.53,248.9,sandy,soybean
84,95,183,11.01,81.68,7.48,279.71,loamy,jowar
89,64,29,20.58,41.12,5.07,41.56,sandy,bajra
137,112,118,16.81,93.21,4.18,28.45,sandy,maize
68,95,112,32.31,43.93,6.83,262.33,loamy,bajra
135,50,188,34.34,97.91,4.95,160.31,sandy,gram
75,74,22,32.64,36.93,7.56,282.63,loamy,rice
50,41,48,20.62,60.32,4.7,256.98,sandy,maize
143,63,174,12.4,49.99,7.13,68.72,clay,sugarcane
6,73,41,36.17,93.61,7.42,220.24,clay,rice
94,39,120,33.9,83.91,7.41,126.37,loamy,wheat
101,68,147,11.44,70.75,7.01,267.43,clay,pulses
120,49,169,31.39,99.84,4.48,291.16,sandy,cotton
6,88,178,24.18,83.42,7.71,182.94,sandy,pulses
119,106,57,14.44,66.87,8.55,105.63,clay,gram
126,57,105,10.98,79.7,8.33,21.02,sandy,bajra
146,29,150,21.71,93.81,7.44,169.84,sandy,cotton
44,117,199,13.53,73.93,5.4,288.76,sandy,cotton
90,49,103,32.31,86.43,7.78,101.02,sandy,gram
88,97,102,13.81,57.33,4.98,266.14,sandy,jowar
90,108,25,38.75,54.75,8.5,237.93,clay,groundnut
118,54,92,19.26,75.15,6.71,22.01,clay,rice
52,9,60,29.12,70.85,5.3,21.61,sandy,wheat
148,88,13,13.32,21.99,6.62,152.32,sandy,bajra
43,30,89,32.9,35.93,5.81,212.58,loamy,rice
95,66,181,12.17,95.98,7.84,109.46,loamy,barley
149,61,89,16.05,41.83,7.49,201.33,sandy,bajra
33,71,179,26.94,92.53,4.35,120.95,loamy,soybean
107,117,95,25.7,86.96,4.12,140.82,clay,maize
5,117,44,30.86,97.12,6.29,230.37,loamy,gram
108,92,73,25.08,95.27,6.04,72.71,loamy,wheat
68,117,19,12.29,74.82,8.03,223.81,clay,bajra
28,29,180,11.77,69.33,7.07,75.91,sandy,jowar
52,76,101,21.38,58.5,6.73,147.9,clay,maize
63,22,165,14.5,45.46,7.89,250.79,clay,groundnut
120,80,195,38.41,77.7,4.7,42.71,loamy,oilseeds
82,110,134,17.71,89.23,7.19,160.3,sandy,wheat
25,62,40,37.79,53.56,6.39,262.31,loamy,jowar
87,85,145,23.23,40.05,7.23,293.24,sandy,jowar
103,61,67,39.77,61.19,8.87,198.65,sandy,barley
45,56,152,29.18,35.01,7.82,75.91,sandy,bajra
46,108,91,34.48,73.17,5.27,274.94,clay,pulses
86,114,72,23.54,65.71,7.58,216.28,loamy,jowar
144,103,154,23.84,51.68,5.05,64.9,loamy,oilseeds
43,61,41,39.52,26.28,8,45.07,clay,jowar
81,18,78,32.29,43.85,8.44,130.45,loamy,jowar
55,82,194,12.84,32.7,5.38,89.53,loamy,oilseeds
30,94,118,22.85,51.8,7.14,156.86,clay,cotton
47,39,65,11.58,64.26,6.1,291.09,sandy,pulses
107,17,114,20.62,58.42,7.06,120.33,clay,millet
38,42,54,34.31,75.16,5.82,40.79,sandy,pulses
126,49,182,34.6,86.91,5.54,160.17,loamy,pulses
41,103,164,28.15,89.23,6.69,84.98,sandy,rice
17,85,192,23.1,85.01,4.43,87.87,loamy,soybean
80,107,155,36.69,72.54,4.39,159.19,loamy,rice
101,26,110,30.86,89.24,8.71,36.06,sandy,oilseeds
38,59,165,39.27,57.11,6.95,285.87,clay,sugarcane
100,42,120,15.87,42.79,5.26,142.39,clay,wheat
20,94,114,38.49,91.8,7.39,32.67,clay,soybean
14,7,99,26.5,82.31,8.29,293.17,sandy,soybean
39,103,51,28.66,88.16,6.21,30.53,sandy,millet
7,18,181,34.93,93.99,8.5,111.97,loamy,sugarcane
14,60,36,34.22,38.63,7.97,48.45,clay,rice
66,27,14,32.99,21.04,6.13,136.66,clay,sugarcane
68,11,5,17.9,31.98,4.92,182.95,loamy,sugarcane
112,28,155,37.91,36.61,6.06,96.59,clay,oilseeds
73,48,8,31.57,78.12,4.9,279.37,sandy,groundnut
145,10,97,14.99,82.08,8.54,152.14,sandy,millet
111,99,9,15.12,83.54,8.92,101.72,loamy,millet
47,89,23,20.32,76.62,5.95,125.82,clay,barley
44,73,12,17.51,45.29,5.79,203.56,clay,soybean
116,73,121,10.68,25.9,7.42,46.57,clay,barley
17,78,27,26.13,93.58,6.22,66.48,sandy,pulses
46,101,84,27.33,35.36,4.21,265.49,loamy,rice
9,104,187,26.09,85.65,7.76,119.23,sandy,oilseeds
16,117,163,35.04,89.72,7.98,284.75,clay,oilseeds
148,77,65,25.4,31.39,8.68,160.76,loamy,wheat
96,6,102,15.13,68.73,5.86,171.7,clay,sugarcane
118,82,135,22.78,35.89,7.8,69.15,sandy,oilseeds
141,67,107,21.49,39.23,6.19,234.98,sandy,gram
142,97,122,13.53,97.15,5.15,279.65,loamy,rice
46,66,14,24.37,89.71,7.97,210.91,clay,barley
93,36,150,11.55,97.85,4.03,165.34,loamy,millet
2,7,164,27.28,53.04,4.79,206.5,sandy,sugarcane
15,108,90,31.96,24.82,5.83,97.83,sandy,wheat
15,17,139,25.17,87.23,8.09,105.29,sandy,pulses
66,39,40,33.87,98.22,4.11,160.19,sandy,cotton
32,59,155,20.67,53.99,6.77,190.85,loamy,groundnut
75,50,183,27.26,86.27,8.46,104.77,clay,bajra
120,81,79,38.34,54.28,4.44,207.82,clay,rice
82,102,191,26.68,75.55,4.61,126.22,sandy,sugarcane
58,18,19,23.79,53.41,7.13,122.29,sandy,rice
16,35,22,16.85,25.99,7.43,284.1,loamy,sugarcane
55,23,155,26.23,72.48,7.69,83.28,loamy,groundnut
98,98,60,33.59,56.93,5.74,96.52,sandy,pulses
47,51,50,30.26,67.66,5.33,299.73,clay,oilseeds
48,103,151,23.7,25.03,5.53,122.04,clay,pulses
33,46,89,30.38,70.42,7.95,242.67,loamy,groundnut
7,28,93,13.54,24.21,8.04,43.73,sandy,rice
97,23,153,11.66,48.36,4.01,164.06,clay,barley
83,8,155,32.52,26.98,5.33,22.34,sandy,bajra
96,38,60,14.63,81.8,4.82,32.59,loamy,gram
121,63,126,20.97,92.76,4.77,298.01,loamy,maize
82,109,59,25.56,32.45,5.81,283.48,loamy,cotton
49,34,146,32.77,48.45,5.46,263.82,clay,soybean
114,18,185,11.44,47.98,7.7,57.81,clay,bajra
112,25,90,28.83,21.99,6.53,213.93,loamy,groundnut
99,107,87,32.59,29.92,4.23,121.28,clay,groundnut
120,43,119,35.82,25.43,8.03,100.6,sandy,oilseeds
17,54,91,23.86,71.08,7.03,134.94,clay,oilseeds
113,87,174,38.54,26.09,6.26,138.69,sandy,jowar
61,49,94,32.59,21.22,7.78,46.55,sandy,wheat
104,117,35,18.32,84.64,7.92,242.04,clay,oilseeds
118,88,152,16.78,93.73,4.37,228.22,loamy,gram
118,95,113,29.87,77.99,7.09,100.17,clay,wheat
141,102,176,29.42,86.86,6.97,142.53,clay,maize
15,59,192,12.63,25.45,4.82,273.07,loamy,bajra
8,69,52,30.03,92.49,6.95,163.49,clay,cotton
16,72,101,10.27,87.18,5.83,51.11,sandy,maize
56,110,175,23.5,43.14,7.03,60.09,loamy,barley
65,83,90,36.5,78.14,5.96,150.26,clay,barley
58,58,36,13.52,48.7,6.32,76.51,loamy,rice
17,74,79,29.85,96.7,8.88,265.23,clay,rice
128,38,166,10.48,21.9,4.5,149.81,clay,rice
54,89,154,38.56,64.88,7.03,157.36,sandy,gram
59,108,164,22.63,91.4,8.35,211.61,clay,cotton
138,83,95,30.37,39.12,6.83,41.67,clay,maize
54,94,57,34.55,56.12,7.09,48.34,sandy,barley
39,48,86,39.58,53.6,8.02,63.59,clay,groundnut
129,81,184,26.03,34.27,7.2,68.97,clay,sugarcane
121,35,129,31.2,54.71,8.1,25.32,loamy,maize
127,10,90,18.87,29.47,7.8,247.91,sandy,sugarcane
37,99,51,23.23,35.81,4.51,280.29,clay,rice
142,74,129,15.96,61.19,5.7,250.6,clay,rice
101,50,93,20.03,57.01,8.42,243.13,loamy,barley
56,64,134,17.35,54.09,4.51,186.44,loamy,barley
23,107,142,26.56,86.23,8.3,228.62,loamy,rice
14,69,174,12.62,39.52,5.76,41.79,clay,oilseeds
13,33,104,24.19,78.1,6.95,247.8,clay,millet
85,94,192,19.77,22.05,4.04,82.56,loamy,jowar
128,108,137,16.36,54.4,7.19,59.79,clay,groundnut
142,41,149,33.93,69.8,8.12,39.55,loamy,bajra
128,87,116,29.87,52.94,5.81,229.37,loamy,cotton
140,63,82,13.98,89.43,6.01,269.7,loamy,wheat
148,66,187,13.35,60.77,4.4,251.81,clay,oilseeds
117,109,51,24.91,58.64,8.21,173.16,clay,pulses
133,51,84,31.89,60.01,6.53,91.31,clay,rice
129,75,82,27.09,55.59,6.96,66.66,sandy,gram
107,106,31,38.36,83.74,7.05,126.41,clay,gram
38,12,50,34.09,54.18,6.93,172.96,sandy,millet
114,81,108,20.16,54.42,6.87,291.8,loamy,pulses
49,6,73,31.26,72.36,8.42,225.7,clay,wheat
86,52,101,37.84,86.28,5.12,48.97,loamy,jowar
93,38,14,20.72,45.38,4.47,298.15,sandy,jowar
33,112,145,39.73,96.82,8.83,135.63,loamy,sugarcane
86,73,25,10.01,51.66,8.86,41.72,clay,maize
114,9,143,20.6,92.6,6.37,99.89,sandy,gram
134,80,75,33,58.44,5.08,153.54,sandy,gram
79,6,40,26.26,31.33,4.13,289.34,sandy,wheat
70,66,133,35.58,31.36,5.76,67.3,clay,soybean
93,85,59,18.81,88.48,8.52,47.16,clay,jowar
67,51,106,25.41,64.43,5.75,275.44,sandy,maize
17,56,92,11.56,84.09,8.52,101.16,sandy,rice
105,30,122,10.34,71.25,4.14,212.08,loamy,gram
145,117,105,32.27,54.76,7.38,260.79,clay,jowar
50,87,165,31.07,85.78,6.59,109.54,clay,gram
141,82,18,23.31,82.3,5.49,147.29,sandy,sugarcane
133,79,48,26.25,96.97,5.24,247.45,sandy,maize
56,30,159,15.7,35.97,4.13,66.55,clay,sugarcane
53,111,47,16.18,31.88,8.11,30.03,clay,pulses
127,96,31,13.2,95.71,7.06,255.36,loamy,jowar
76,22,20,10.35,66.5,6.07,162.88,sandy,groundnut
59,32,140,17.88,70.16,4.58,173.95,sandy,oilseeds
58,102,177,30.37,64.63,7.71,170.33,clay,barley
33,85,139,18.48,78.21,4.19,41.09,sandy,millet
27,61,28,28.91,75.5,7.35,214.64,clay,cotton
68,54,186,22.59,87.39,7,187.96,loamy,barley
109,114,83,17.53,26.44,6.68,211.87,loamy,oilseeds
39,12,59,11.54,79.51,7.73,162.15,sandy,sugarcane
139,24,66,38.76,76.09,4.52,173.86,sandy,sugarcane
18,24,87,13.34,32.18,4.44,28.48,clay,sugarcane
142,60,189,10.85,89.75,5.83,124.97,clay,jowar
27,33,162,35.87,50.1,7.32,224.95,loamy,wheat
81,35,101,10.01,46.97,8.5,178.69,sandy,millet
85,10,132,31.35,64.45,7.93,187.11,sandy,oilseeds
99,97,85,34.14,27.66,4.37,220.42,loamy,groundnut
53,115,106,33.68,67.28,7.5,191.62,loamy,groundnut
78,10,148,15.43,34.86,4.1,248.89,clay,oilseeds
53,42,48,39.08,52.06,4.6,122.15,clay,wheat
44,29,164,39.14,78.75,6.19,194.99,sandy,cotton
111,61,103,23.31,87.48,5.8,221.57,loamy,oilseeds
66,65,92,23.95,20.02,7.83,80.44,sandy,wheat
76,97,199,39.64,67.77,6.79,182.02,clay,barley
90,74,42,12.21,32.67,4.28,99.97,sandy,cotton
61,24,165,28.08,50.16,4.1,195.24,clay,bajra
148,58,113,36.99,59,5.84,39.48,loamy,rice
84,25,173,24.77,45.48,6.85,105.63,loamy,wheat
146,68,99,23.26,31.38,6.15,237.07,sandy,cotton
18,72,176,26.11,53.62,4.24,151.67,loamy,oilseeds
80,35,110,15.15,32.48,6.08,56.66,loamy,pulses
142,57,12,28.68,50.8,7.92,106.8,clay,bajra
17,70,156,33.86,43.74,7.95,131.92,loamy,gram
84,107,137,12.15,28.51,5.14,69.84,sandy,wheat
57,103,23,30.62,82.37,6.02,267.71,clay,sugarcane
28,83,141,23.96,47.42,6.68,127.88,sandy,millet
90,102,172,16.43,52.94,4.86,218.72,sandy,gram
49,27,147,21.58,68.9,7.18,263.64,sandy,millet
47,44,131,20.77,96.56,5.07,223.2,loamy,cotton
88,26,133,11.36,96.5,5.71,299.59,sandy,bajra
93,18,127,24.27,22.74,4.03,93.47,clay,maize
125,105,185,23.85,95.32,7.29,194.88,loamy,sugarcane
124,25,185,24.51,36.72,6.18,212.75,sandy,pulses
119,22,156,24.49,86.48,6.05,193.49,sandy,soybean
87,86,57,15.2,37.46,8.3,119.74,loamy,millet
21,94,139,21.46,41.33,4.19,256.04,sandy,gram
129,38,28,18.31,37.8,6.08,122.17,clay,oilseeds
92,106,124,21.32,34.41,4.15,145.64,clay,pulses
115,26,134,28.19,40.86,7.33,64.43,loamy,soybean
0,89,101,33.17,72.87,4.12,174.39,clay,rice
148,20,193,21.12,84.79,6.29,102.93,sandy,rice
14,118,96,10.8,56.7,6.02,81.47,sandy,millet
19,104,60,37.14,74.33,8.97,169.9,loamy,barley
55,49,188,35.68,39.88,4.48,129.25,sandy,soybean
17,55,144,22.36,20.64,8.25,125.74,loamy,oilseeds
30,38,110,11.85,88.36,4.83,89.23,loamy,soybean
80,40,112,10.41,41.61,4.9,155.93,sandy,rice
118,112,152,29.29,56.05,5.83,189.86,clay,gram
93,95,74,32.05,57.57,5.93,244.74,clay,sugarcane
45,42,102,10.81,92.65,8.76,222.27,clay,maize
22,43,53,13.62,36.43,5.35,191.03,sandy,rice
95,46,168,24.81,38.3,7.28,232.05,clay,millet
7,72,189,13.99,72.78,4.91,262.8,sandy,pulses
121,41,129,24.57,20.57,4.22,48.13,loamy,soybean
57,92,26,14.97,71.38,6.03,256.71,loamy,maize
77,64,112,24.24,20.22,7.08,165.63,loamy,pulses
112,115,53,19.67,97.87,4.48,44.35,clay,barley
27,5,174,24.43,27.77,5.79,178.04,clay,gram
64,95,124,12.56,70.37,8.43,105.58,sandy,sugarcane
22,92,24,11.02,80.86,4.95,236.07,sandy,soybean
41,49,49,18.54,58.74,7.54,174.87,sandy,barley
29,107,146,14.47,28.65,5.29,122.88,clay,oilseeds
75,80,140,10.4,66.09,5.67,237.16,clay,rice
109,83,37,36.23,51.45,7.87,89.46,sandy,gram
73,83,189,30.58,92.6,5.47,131.75,clay,soybean
57,102,150,11.32,99.34,6.44,94.59,loamy,gram
110,65,126,28.01,86.43,5.18,171.52,loamy,rice
91,24,57,31.04,21.19,8.47,117.94,sandy,cotton
9,11,108,30.71,49.98,5.74,140.97,sandy,jowar
106,107,103,21.37,41.1,6.94,65.87,sandy,millet
18,73,99,14.72,94.31,4.21,166.01,clay,barley
129,83,9,31.75,82.82,6.1,153.58,sandy,millet
126,85,69,27.8,87.4,8.08,88.24,clay,rice
100,96,194,27.56,30.61,6.38,60.83,sandy,groundnut
37,119,25,13.49,29.61,6.95,95.57,clay,rice
60,105,190,14.7,50.17,6.27,84.26,sandy,wheat
60,113,19,38.89,91.87,8.77,217.56,loamy,gram
12,59,177,27.06,37.9,8.7,152.54,clay,jowar
20,107,173,27.03,82.12,4.51,226.97,sandy,oilseeds
80,10,6,14.88,48.86,6.38,21.66,sandy,maize
7,103,63,31,79.49,5.83,114.62,loamy,jowar
73,59,180,26.09,63.1,5.86,87.9,sandy,bajra
0,18,184,10.21,41.31,8.51,58.52,sandy,sugarcane
65,57,133,24.2,44.68,5.65,45.24,loamy,pulses
62,20,151,33.82,37.86,7.34,185.93,clay,sugarcane
91,118,73,22.56,95.57,6.25,163.71,sandy,barley
106,37,44,19.8,48.6,5.56,50.34,sandy,pulses
136,75,182,21.26,49.99,7.66,252.02,sandy,pulses
38,11,100,12.57,26.87,7.64,251.52,loamy,cotton
104,38,117,13.8,38.38,8.91,206.17,sandy,bajra
66,27,73,38.87,59.9,6.1,243,loamy,pulses
64,23,27,13.78,70.4,4.35,168.51,sandy,maize
14,37,167,12.01,90.57,6.98,149.99,loamy,cotton
4,18,11,30.48,60.21,4.73,64.8,sandy,sugarcane
130,62,122,13.63,60.22,4.2,264.11,loamy,cotton
90,56,6,14.92,45.1,5.96,64.76,clay,maize
50,68,96,28.83,84.88,4.5,153.14,sandy,gram
66,57,115,19.87,62.41,7.56,79.31,sandy,bajra
34,78,124,23.89,86.88,5.64,207.66,clay,maize
139,97,80,23.44,80.74,7.34,231.32,loamy,pulses
6,7,76,22.14,62.95,8.39,220.95,sandy,barley
56,50,179,22.4,43.95,5.28,252.13,loamy,jowar
15,97,32,19.63,46.6,6.22,95.4,sandy,rice
36,64,185,23.06,44.36,6.85,259.55,clay,groundnut
127,12,177,32.42,99.31,7.25,162.61,sandy,maize
91,94,192,11.7,53.62,6.45,96.91,loamy,cotton
85,103,16,29.06,95.18,5.98,94.4,loamy,maize
121,40,128,21.59,91.52,4.47,277.94,clay,bajra
112,43,64,26.91,74.39,5.4,254.37,sandy,sugarcane
119,45,23,36.34,74.21,5.12,147.19,sandy,sugarcane
105,69,127,14.87,33.52,5.52,124.07,loamy,jowar
74,6,140,25.35,95.55,6.95,222.15,clay,pulses
137,119,197,27.55,87.46,8.95,41.71,loamy,millet
67,34,84,15.35,73.36,6.26,177.68,loamy,soybean
4,117,59,30.66,53.61,7.3,54.12,clay,gram
99,96,25,28.63,35.4,8,28.96,clay,sugarcane
134,44,166,24.28,75.24,7.97,262.19,clay,wheat
72,103,83,27.42,64.85,8.48,236.27,sandy,groundnut
146,34,100,32.06,39.22,6.33,267.4,loamy,barley
66,17,150,25.1,33.69,4.49,42.27,loamy,barley
101,118,57,32.61,81.88,5.77,29.24,sandy,bajra
98,95,57,16.17,53.4,6.63,68.48,loamy,bajra
103,69,72,11.95,82.15,8.99,61.36,sandy,oilseeds
101,47,147,18,80.33,8.05,258.3,clay,oilseeds
69,52,181,31.29,22.55,7.69,195.94,clay,bajra
85,45,86,17.52,37.46,5.62,84.79,loamy,soybean
104,61,176,18.27,45.86,4.37,62.82,sandy,gram
12,47,5,12.91,68.44,8.89,129.77,loamy,jowar
7,15,74,25.47,88.22,8.06,114.85,sandy,cotton
16,19,17,22.9,25.63,7.12,234.11,clay,pulses
58,17,47,30.24,58.74,8.25,91,clay,gram
19,60,122,35.37,74.52,6.84,82.52,loamy,cotton
46,110,56,27.14,40.66,5.84,223.41,clay,sugarcane
85,85,51,33.33,85.18,5.81,79.98,loamy,millet
32,35,9,25.67,35.22,4.4,136.73,clay,maize
77,22,66,23.7,97,5.01,197.48,sandy,bajra
81,49,154,12.51,97.53,6.89,102.35,loamy,bajra
129,72,160,23.1,57.6,4.85,238.76,loamy,rice
115,85,27,25.04,51.71,5.8,283.85,clay,barley
13,107,166,15.56,36.18,4.45,204.14,clay,gram
135,111,7,25.62,58.86,8.19,229.95,sandy,sugarcane
65,58,43,35.54,31.26,8.22,35.08,loamy,barley
104,41,188,28.47,31.01,6.53,52.42,loamy,barley
34,53,126,10.01,90.32,5.97,156.93,sandy,groundnut
30,69,38,17.72,36.44,5.87,152.26,clay,soybean
87,61,126,10.64,95.89,4.77,238.97,sandy,bajra
14,108,19,34.77,48,6.16,60.26,clay,millet
101,9,79,22.37,65.04,4.92,212.88,clay,gram
138,54,44,19.29,84.11,4.02,117.47,clay,barley
9,114,93,38.51,39.34,7.1,65.27,clay,wheat
111,22,179,16.66,47.34,5.39,52.33,loamy,gram
135,10,75,34.83,65.79,5.62,257,loamy,pulses
75,24,52,16.01,36.64,4.29,267.98,clay,sugarcane
121,93,68,16.79,23.61,6.47,108.25,clay,groundnut
112,103,63,15.48,75.07,6.06,55.89,sandy,jowar
15,112,52,21.2,46.77,7.69,53.96,clay,maize
107,70,67,23.37,71.84,4.99,132.64,clay,oilseeds
100,61,83,15.19,95.25,4.31,179.4,sandy,soybean
82,82,6,21.08,98.94,6.53,37.98,loamy,gram
29,102,166,31.22,68.39,8.51,89.34,loamy,bajra
88,104,28,19.43,93.52,5.69,280.66,sandy,soybean
129,93,11,34.87,42.54,5.7,87.79,clay,bajra
93,85,109,15.9,89.21,8.82,168.77,loamy,maize
71,32,115,37.72,30.52,8.79,104.97,loamy,barley
33,73,81,11.94,77.38,7.85,168.72,loamy,oilseeds
98,45,69,39.83,94.59,6.81,248.86,clay,maize
55,102,62,17.54,64.9,8.84,129.89,sandy,soybean
141,93,109,24.6,46.47,7.48,252.47,loamy,groundnut
95,18,96,20.99,45.99,7.98,154.38,loamy,wheat
89,57,29,26.33,45.62,6,211.84,sandy,oilseeds
37,110,115,13.61,38.42,7.36,68.85,sandy,rice
18,80,60,25.25,94.56,7.29,22.09,sandy,soybean
108,44,49,26.93,59.46,4.48,189.96,loamy,barley
82,101,26,34.03,67.26,4.78,85.26,sandy,wheat
94,118,180,15.27,96.46,7.99,249.53,sandy,sugarcane
49,7,199,16.47,35.17,7.48,86.23,sandy,cotton
99,60,18,10.81,29.94,6.12,281.09,sandy,soybean
40,27,33,25.61,58.17,6.54,196.19,sandy,millet
62,29,166,24.58,49.54,6.76,121.73,loamy,bajra
14,115,96,13.68,72.45,7.74,208.29,sandy,sugarcane
108,93,168,16.5,47.66,7.15,221.16,loamy,wheat
111,16,173,11.91,77.94,6.46,287.43,loamy,pulses
48,6,25,27.02,74.43,5.39,77.13,sandy,cotton
75,113,120,25.21,25.94,7.95,228.64,loamy,pulses
11,94,148,20.36,31.59,7.19,235.46,loamy,pulses
10,7,144,33.07,49.14,4.35,114.99,loamy,cotton
114,98,11,32.65,78.25,5.14,111.56,sandy,gram
13,71,116,18.38,36.51,8,30.92,clay,pulses
23,18,81,29.39,42.7,4.76,119.32,clay,pulses
37,90,184,28.15,73.29,6.45,33.87,clay,gram
56,9,6,12.23,26.76,8.73,212.89,sandy,millet
146,96,52,17.26,45.13,8.52,204.16,clay,maize
146,20,91,23.51,66.52,5.53,254.31,loamy,maize
18,18,129,30.2,83.77,8.38,181.14,clay,millet
70,93,107,33.99,35.32,5.53,78.87,sandy,rice
107,83,75,24.08,67.62,8.75,202.64,sandy,sugarcane
34,88,116,21.11,48.27,7.52,123.39,clay,millet
103,119,17,26.66,46.06,5,29.3,loamy,soybean
58,59,26,16.35,64.43,7.24,52.8,loamy,maize
14,30,47,16.92,46.41,7.71,104.01,sandy,sugarcane
118,106,22,27.26,90.32,6.85,51.55,clay,jowar
42,38,139,21.56,70.92,6.98,205.02,clay,soybean
65,49,6,34.47,68.27,8.41,24.55,loamy,cotton
134,9,193,19.57,77.47,8.06,278.85,loamy,wheat
10,36,60,39.68,54.32,8.18,109.31,sandy,rice
37,105,32,39.88,85.71,5.23,101.25,sandy,pulses
24,10,48,14.97,91.67,5.61,122.42,loamy,maize
42,37,168,13.92,39,5.42,204.79,sandy,bajra
25,10,59,38.91,68.28,5.19,224.89,loamy,millet
51,114,59,27.99,97.31,6.85,105.57,sandy,cotton
148,12,118,16.85,70.74,6.45,62.02,loamy,millet
116,20,31,33.48,27.69,6.18,165.36,sandy,rice
149,77,164,30.09,64.29,8.05,51.1,sandy,pulses
66,6,32,31.14,35.84,4.91,226.37,loamy,jowar
93,100,67,39.94,32.1,5.9,205.47,loamy,wheat
149,116,101,22.18,32.8,8.93,153,loamy,wheat
136,21,53,17.79,27.46,7.91,177.76,clay,pulses
68,31,82,17.35,36.96,8.36,158.45,sandy,oilseeds
81,37,102,36.05,98.92,8.88,269.78,sandy,groundnut
70,90,98,10.86,59,6.08,36.28,clay,bajra
61,45,130,30.44,50.94,7.61,208.79,loamy,jowar
145,92,152,36.4,58.91,5.17,212.51,sandy,maize
34,67,41,24.8,35.07,5.99,241.71,sandy,millet
63,12,126,27.98,45.32,7.05,104.75,loamy,cotton
1,83,85,34.62,34.6,4.88,250.5,sandy,soybean
149,7,24,13.71,43.49,4.87,154.33,clay,millet
109,116,71,31.25,26.16,8.87,39.86,sandy,jowar
41,11,121,31.51,46.56,7,57.26,sandy,wheat
28,42,157,10.3,76.34,6.97,29.46,loamy,jowar
18,42,49,14.37,66.25,6.02,51.49,sandy,barley
129,44,130,20.72,57.77,5.65,64.28,loamy,pulses
117,46,47,13.28,33.02,7.06,120.43,loamy,gram
123,26,9,21.38,54.77,5.6,257.44,clay,rice
73,110,175,17.38,47.31,8.62,192.86,loamy,oilseeds
12,100,96,39.16,61.78,4.73,144.95,clay,jowar
43,30,197,36.17,39.13,7.26,150.4,loamy,oilseeds
57,117,104,22.68,59.18,4.05,269.19,clay,wheat
9,67,142,39.14,32.68,4.43,207.22,loamy,soybean
108,41,54,16.9,72.04,6.31,32.63,clay,jowar
133,32,80,35.49,72.13,4,208.42,sandy,millet
122,96,198,31.94,90.58,7.03,207.31,clay,sugarcane
49,107,50,31.85,97.72,4.85,245.98,clay,cotton
130,54,169,29.02,85.93,6.67,235.16,sandy,oilseeds
109,116,147,24.68,97.45,8.71,81.26,clay,cotton
121,14,113,27.56,45.03,7.12,203.24,sandy,maize
134,6,8,23.74,98.27,7.77,106.78,sandy,jowar
25,59,103,27.26,82.72,5.14,97.88,loamy,wheat
33,36,90,37.5,24.94,8.63,119.48,clay,gram
80,86,11,22.41,76.09,7.23,109.46,clay,rice
144,18,136,18.48,74.71,7.64,176.62,loamy,soybean
109,37,151,28.74,41.01,6.06,43.72,loamy,pulses
132,53,172,39.95,64.7,6.28,84.93,clay,millet
36,92,86,34.69,74.06,5.85,231.28,loamy,groundnut
120,49,191,20.61,28.92,5.72,135.78,sandy,barley
36,93,151,36.38,35.84,8.11,43.4,loamy,soybean
115,88,61,32.14,51.93,6.79,170.19,loamy,sugarcane
28,80,90,30.02,20.26,8.79,61.86,loamy,jowar
8,91,87,37.88,31.34,4.41,195.19,clay,groundnut
37,57,153,15.12,48.66,5.41,253.18,loamy,bajra
128,89,131,17.08,46.01,7.33,296.98,loamy,cotton
85,27,86,25.03,34.38,6.22,196.16,loamy,sugarcane
120,100,47,10.94,50.23,5.56,204.64,clay,groundnut
57,103,30,16.14,27.62,6.87,189.98,loamy,pulses
51,105,51,26.58,78.93,6.76,133.82,loamy,millet
22,40,196,35.12,80.74,4.22,225.01,clay,sugarcane
82,58,48,29.66,63.11,5.49,36.79,clay,millet
85,65,174,10.5,56.58,8.98,292.61,sandy,soybean
83,77,34,23.06,82.16,5.79,101.12,clay,wheat
8,18,89,29.31,24.11,6.23,247.12,sandy,soybean
78,98,155,32.42,86.96,6.13,281.85,sandy,rice
122,10,191,13.57,34.7,4.6,26.21,clay,wheat
139,92,9,12.69,98.59,6.34,33.46,clay,sugarcane
15,43,192,38.14,22.7,7.65,98.1,sandy,millet
76,10,112,35.45,27.91,7.11,91.67,sandy,wheat
111,39,21,32.19,63.91,8.3,294.54,loamy,wheat
5,18,176,34.98,39.52,8.38,116.87,loamy,sugarcane
26,49,101,37.25,79.25,4.2,297.42,clay,groundnut
